,Artist,Track,Duration,Views,Likes,Comments,Stream
120,Eminem,Mockingbird,250760.0,719661717.0,5550929.0,205147.0,908006704.0
121,Eminem,Without Me,290320.0,1590485349.0,11469490.0,341006.0,1457351902.0
122,Eminem,The Real Slim Shady,284200.0,777507160.0,6489755.0,169037.0,1232567233.0
123,Eminem,Superman,350320.0,139257221.0,950561.0,35404.0,466021760.0
124,Eminem,Till I Collapse,297787.0,1931315.0,18992.0,291.0,1548871694.0
125,Eminem,Stan,404107.0,623027280.0,5152714.0,199113.0,799979337.0
126,Eminem,Love The Way You Lie,263373.0,2539156924.0,12696568.0,599124.0,1115478746.0
127,Eminem,Godzilla (feat. Juice WRLD),210800.0,547039623.0,9287567.0,398333.0,1072650382.0
128,Eminem,Sing For The Moment,339547.0,454015875.0,2471743.0,99418.0,357737050.0
129,Eminem,Not Afraid,248133.0,1727241246.0,11425215.0,872181.0,789922926.0
12449,Ed Sheeran,Perfect,263400.0,3361086287.0,19033010.0,486143.0,2312689776.0
12450,Ed Sheeran,Bad Habits,230747.0,476163563.0,4193306.0,149738.0,1401517917.0
12451,Ed Sheeran,Shivers,207853.0,259267738.0,2182153.0,54783.0,1104261508.0
12452,Ed Sheeran,Shape of You,233713.0,5908398479.0,31047780.0,1130327.0,3362005201.0
12453,Ed Sheeran,Photograph,258987.0,1265617910.0,6645829.0,170389.0,2067689483.0
12454,Ed Sheeran,Celestial,209027.0,24283273.0,561172.0,19898.0,92498982.0
12455,Ed Sheeran,Thinking out Loud,281560.0,3547155867.0,14343730.0,362545.0,2154334378.0
12456,Ed Sheeran,Bam Bam (feat. Ed Sheeran),206071.0,140993773.0,1834062.0,37567.0,619247782.0
12457,Ed Sheeran,For My Hand (feat. Ed Sheeran),159124.0,80086629.0,689733.0,16591.0,119730400.0
12458,Ed Sheeran,Happier,207520.0,397154250.0,3012544.0,92841.0,1160906130.0
12489,Taylor Swift,Anti-Hero,200690.0,101169702.0,2808718.0,82120.0,530534722.0
12490,Taylor Swift,Lavender Haze,202396.0,14004124.0,1082514.0,35959.0,263032419.0
12491,Taylor Swift,Don’t Blame Me,236413.0,229100.0,4707.0,0.0,464198683.0
12492,Taylor Swift,Midnight Rain,174783.0,21346495.0,307045.0,4222.0,252321626.0
12493,Taylor Swift,Blank Space,231827.0,3096802224.0,14114951.0,628442.0,1068961957.0
12494,Taylor Swift,cardigan,239560.0,116554651.0,2503027.0,142304.0,563359986.0
12495,Taylor Swift,Snow On The Beach (feat. Lana Del Rey),256124.0,653845.0,13249.0,452.0,213946441.0
12496,Taylor Swift,Lover,221307.0,212206142.0,3066281.0,98068.0,703277114.0
12497,Taylor Swift,"You're On Your Own, Kid",194207.0,13770377.0,202527.0,3335.0,206182675.0
12498,Taylor Swift,Bejeweled,194166.0,43850467.0,1637971.0,49431.0,191306722.0
13539,Ariana Grande,Santa Tell Me,204093.0,273587108.0,3068395.0,124070.0,826416078.0
13540,Ariana Grande,7 rings,178627.0,1241561447.0,15332167.0,730134.0,1895706370.0
13541,Ariana Grande,Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,191014.0,253187553.0,3384673.0,92516.0,1025392875.0
13542,Ariana Grande,positions,172325.0,480074066.0,8112778.0,348077.0,1144347767.0
13543,Ariana Grande,One Last Time,197267.0,355997948.0,3375236.0,151532.0,1090948668.0
13544,Ariana Grande,"thank u, next",207320.0,749903471.0,13374550.0,766256.0,1634130431.0
13545,Ariana Grande,Stuck with U (with Justin Bieber),228482.0,209132864.0,4787585.0,142524.0,903479196.0
13546,Ariana Grande,34+35,173711.0,285258274.0,4966928.0,194036.0,800804844.0
13547,Ariana Grande,boyfriend (with Social House),186107.0,228625585.0,4175248.0,146181.0,624023819.0
13548,Ariana Grande,God is a woman,197547.0,380917647.0,5264740.0,428561.0,912161840.0
14069,Justin Bieber,STAY (with Justin Bieber),141806.0,681205578.0,10131328.0,247007.0,2365777505.0
14070,Justin Bieber,Ghost,153190.0,224579722.0,2888687.0,99758.0,941372658.0
14071,Justin Bieber,Peaches (feat. Daniel Caesar & Giveon),198082.0,618919778.0,7638701.0,230639.0,1335838557.0
14072,Justin Bieber,Love Yourself,233720.0,273175.0,5121.0,153.0,1975866785.0
14073,Justin Bieber,Mistletoe,182947.0,474786201.0,3332011.0,333376.0,622252277.0
14074,Justin Bieber,Sorry,200787.0,3627305503.0,15789307.0,865675.0,1740759086.0
14075,Justin Bieber,Stuck with U (with Justin Bieber),228482.0,209132864.0,4787587.0,142524.0,903479196.0
14076,Justin Bieber,Baby,214240.0,2905792670.0,23212268.0,4805805.0,625188054.0
14077,Justin Bieber,What Do You Mean?,205680.0,2218679460.0,10318664.0,521449.0,1377607834.0
14078,Justin Bieber,Off My Face,156468.0,30385285.0,480674.0,12734.0,209625470.0
17985,Marshmello,Leave Before You Love Me (with Jonas Brothers),154983.0,128292805.0,1157408.0,27515.0,539669724.0
17986,Marshmello,Numb,155589.0,25213699.0,418664.0,7041.0,203066841.0
17987,Marshmello,Happier,214290.0,1048918185.0,14014617.0,740605.0,1798354650.0
17988,Marshmello,Silence,180823.0,129183867.0,1480655.0,37678.0,1322057199.0
17989,Marshmello,Wolves,197993.0,495424845.0,4961215.0,138941.0,1186630029.0
